level,name,zipcode,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,native_amer,asian,black,hisp,p_islander,white,male,female,econ_disadv,disabled,limited_eng,lat,lng
Elementary School,A. Z. Kelley Elementary,37013,153.0,145.0,149.0,180.0,184.0,,,,,,,,,1.0,113.0,319,206,1.0,212.0,431,421,261,75.0,298.0,36.021817118099996,-86.6588477794
Elementary School,Alex Green Elementary,37189,42.0,50.0,44.0,38.0,24.0,,,,,,,,,,,183,29,1.0,21.0,115,119,153,21.0,25.0,36.2529606982,-86.8322291988
Elementary School,Amqui Elementary,37115,84.0,93.0,77.0,87.0,84.0,,,,,,,,,1.0,3.0,187,209,1.0,57.0,223,235,246,51.0,143.0,36.2737658523,-86.7038315283
Elementary School,Andrew Jackson Elementary,37138,95.0,93.0,85.0,88.0,103.0,,,,,,,,,1.0,21.0,150,66,2.0,256.0,258,238,122,64.0,32.0,36.2315846536,-86.6237746868
High School,Antioch High School,37013,,,,,,,,,,499.0,486.0,482.0,448.0,1.0,78.0,642,806,1.0,387.0,1026,889,622,185.0,634.0,36.0466746426,-86.5994183274
Middle School,Antioch Middle,37013,,,,,,97.0,251.0,255.0,217.0,,,,,2.0,65.0,239,407,3.0,104.0,413,407,391,105.0,415.0,36.0553789673,-86.67182988559999
Middle School,Apollo Middle,37013,,,,,,178.0,214.0,227.0,216.0,,,,,2.0,38.0,230,428,,137.0,421,414,340,97.0,417.0,36.0668779764,-86.6640697109
Middle School,Bellevue Middle,37221,,,,,,144.0,175.0,152.0,160.0,,,,,,23.0,222,85,1.0,300.0,328,303,211,93.0,67.0,36.0707487921,-86.9348203609
Elementary School,Bellshire Elementary,37207,60.0,62.0,52.0,44.0,65.0,,,,,,,,,,3.0,269,37,,33.0,167,175,232,43.0,35.0,36.2696876639,-86.76230026290001
Charter,Brick Church College Prep,37207,,,,,,85.0,81.0,95.0,78.0,,,,,2.0,2.0,281,42,,12.0,181,158,255,12.0,61.0,36.2207385771,-86.7817524484
Elementary School,Buena Vista Elementary,37208,30.0,25.0,36.0,38.0,41.0,,,,,,,,,,,189,5,,5.0,106,93,174,22.0,6.0,36.1777411585,-86.7981380508
Elementary School,Cambridge Early Learning Center,37013,,,,,,,,,,,,,,,5.0,73,21,,36.0,75,60,53,9.0,,36.0603500916,-86.64101743299999
Elementary School,Cane Ridge Elementary,37013,112.0,102.0,121.0,94.0,93.0,52.0,,,,,,,,1.0,22.0,303,145,1.0,137.0,311,298,265,40.0,223.0,36.039719665700005,-86.61815062790001
High School,Cane Ridge High School,37013,,,,,,,,,,474.0,449.0,513.0,422.0,2.0,133.0,752,655,3.0,313.0,980,878,635,190.0,573.0,36.0302884296,-86.621230214
Elementary School,Carter-Lawrence Elementary,37203,38.0,46.0,50.0,51.0,58.0,,,,,,,,,1.0,3.0,212,20,2.0,25.0,135,128,159,25.0,24.0,36.1436534419,-86.7858534926
Elementary School,Casa Azafran Early Learning Center,37211,,,,,,,,,,,,,,,12.0,17,39,1.0,22.0,53,38,16,9.0,,36.1265171601,-86.7533987496
Elementary School,Chadwell Elementary,37115,67.0,53.0,51.0,57.0,76.0,,,,,,,,,,3.0,174,113,,33.0,160,163,185,47.0,86.0,36.25637022,-86.7416710943
Elementary School,Charlotte Park Elementary,37209,92.0,90.0,91.0,97.0,101.0,,,,,,,,,,46.0,96,275,3.0,93.0,275,238,214,55.0,251.0,36.151245238899996,-86.88371354719999
Elementary School,Cockrill Elementary,37209,58.0,52.0,60.0,52.0,59.0,,,,,,,,,,4.0,158,118,,39.0,151,168,196,41.0,87.0,36.1562064576,-86.8451449272
Elementary School,Cole Elementary,37013,141.0,132.0,143.0,133.0,134.0,,,,,,,,,,90.0,75,481,2.0,113.0,400,361,332,56.0,417.0,36.0583352576,-86.6986202084
Special Education,Cora Howe School,37206,,,1.0,6.0,3.0,10.0,12.0,6.0,14.0,10.0,6.0,6.0,18.0,1.0,1.0,57,2,,31.0,76,16,46,88.0,6.0,36.1889302687,-86.73458329420001
Middle School,Creswell Middle School of the Arts,37218,,,,,,88.0,105.0,89.0,80.0,,,,,1.0,,320,11,,30.0,138,224,163,41.0,4.0,36.1960632171,-86.8375393872
Elementary School,Crieve Hall Elementary,37220,103.0,93.0,91.0,80.0,98.0,,,,,,,,,3.0,71.0,28,118,2.0,243.0,222,243,68,26.0,134.0,36.0657457496,-86.7581030533
Middle School,Croft Middle,37211,,,,,,174.0,214.0,189.0,173.0,,,,,,22.0,141,379,1.0,207.0,387,363,262,80.0,332.0,36.087474942600004,-86.7341476906
Elementary School,Cumberland Elementary,37218,56.0,51.0,57.0,56.0,58.0,,,,,,,,,,1.0,220,29,2.0,26.0,142,136,212,25.0,18.0,36.212069099299995,-86.86656862299999
Elementary School,Dan Mills Elementary,37216,105.0,120.0,106.0,104.0,95.0,,,,,,,,,4.0,7.0,83,102,1.0,369.0,280,286,105,49.0,67.0,36.2186382608,-86.71708395270001
Elementary School,Dodson Elementary,37076,62.0,87.0,72.0,76.0,64.0,,,,,,,,,1.0,7.0,215,68,2.0,100.0,201,192,219,66.0,56.0,36.1909084815,-86.60331793120001
Middle School,Donelson Middle,37214,,,,,,189.0,193.0,213.0,180.0,,,,,1.0,12.0,361,152,2.0,247.0,382,393,369,112.0,142.0,36.1667225726,-86.656336234
Elementary School,Dupont Elementary,37138,62.0,63.0,60.0,64.0,71.0,,,,,,,,,,5.0,85,53,1.0,211.0,176,179,155,45.0,25.0,36.2613820968,-86.652625791
Middle School,Dupont-Hadley Middle,37138,,,,,,146.0,155.0,151.0,159.0,,,,,1.0,9.0,203,79,,319.0,322,289,194,92.0,47.0,36.2497784913,-86.6427891084
Middle School,Dupont-Tyler Middle,37076,,,,,,124.0,165.0,138.0,154.0,,,,,2.0,13.0,277,142,1.0,145.0,288,293,273,87.0,112.0,36.1996225114,-86.6125957599
Elementary School,Eagle View Elementary,37013,105.0,112.0,107.0,106.0,106.0,70.0,,,,,,,,3.0,21.0,350,192,1.0,95.0,343,319,275,65.0,232.0,,
Elementary School,Eakin Elementary,37212,110.0,117.0,96.0,115.0,105.0,,,,,,,,,1.0,58.0,185,34,,265.0,261,282,92,66.0,40.0,36.1351431922,-86.80760668459999
Charter,East End Preparatory School,37216,111.0,104.0,108.0,103.0,105.0,97.0,98.0,97.0,76.0,,,,,2.0,11.0,687,125,,74.0,416,483,413,87.0,47.0,36.2069950352,-86.7182717708
Middle School,East Nashville Middle,37206,,,,,,76.0,75.0,81.0,84.0,,,,,1.0,2.0,295,11,,7.0,150,166,178,33.0,5.0,36.188861645100005,-86.7332427155
High School,East Nashville School,37206,,,,,,,,19.0,23.0,153.0,164.0,167.0,175.0,1.0,5.0,658,13,,24.0,308,393,253,55.0,3.0,36.1806264426,-86.7504713705
Charter,Explore Community School,37206,97.0,88.0,82.0,88.0,75.0,,,,,,,,,1.0,3.0,237,21,,168.0,201,229,201,52.0,8.0,36.1743641454,-86.7516488877
Elementary School,Fall-Hamilton Elementary,37203,49.0,56.0,60.0,49.0,37.0,,,,,,,,,,2.0,193,69,1.0,47.0,172,140,170,63.0,43.0,36.1334718393,-86.7662062825
Elementary School,Gateway Elementary,37115,31.0,44.0,45.0,30.0,52.0,,,,,,,,,,3.0,72,82,1.0,44.0,98,104,109,18.0,63.0,36.2922088797,-86.71066017950001
Elementary School,Glencliff Elementary,37211,120.0,111.0,113.0,112.0,102.0,,,,,,,,,3.0,15.0,72,413,1.0,93.0,314,283,200,34.0,339.0,36.101625851,-86.7230998317
High School,Glencliff High School,37211,,,,,,,,,,349.0,309.0,332.0,177.0,,46.0,204,742,,175.0,655,512,439,104.0,621.0,36.101400683099996,-86.7274692859
Elementary School,Glendale Elementary,37204,96.0,92.0,80.0,73.0,73.0,,,,,,,,,,8.0,29,46,,359.0,233,209,11,30.0,8.0,36.0959359228,-86.7839065582
Elementary School,Glengarry Elementary,37217,67.0,92.0,66.0,82.0,81.0,,,,,,,,,,2.0,45,304,1.0,55.0,209,198,191,30.0,271.0,36.1103898927,-86.7064250194
Elementary School,Glenview Elementary,37217,135.0,111.0,101.0,116.0,117.0,,,,,,,,,2.0,2.0,90,433,,109.0,351,285,281,42.0,427.0,36.127570472600006,-86.7063679645
Elementary School,Goodlettsville Elementary,37072,68.0,64.0,56.0,65.0,67.0,,,,,,,,,6.0,16.0,133,88,4.0,107.0,186,168,135,47.0,61.0,36.3129393439,-86.7104870774
Middle School,Goodlettsville Middle,37072,,,,,,154.0,138.0,160.0,146.0,,,,,2.0,17.0,252,195,2.0,130.0,298,300,271,81.0,148.0,36.3181505215,-86.71246408729999
Elementary School,Gower Elementary,37209,126.0,108.0,90.0,113.0,124.0,,,,,,,,,1.0,51.0,161,95,,300.0,311,297,160,90.0,84.0,36.1153420518,-86.92228685100001
Middle School,Gra-Mar Middle,37216,,,,,,100.0,80.0,74.0,90.0,,,,,1.0,4.0,233,67,,39.0,199,145,222,60.0,81.0,36.2328428043,-86.7451605246
Elementary School,Granbery Elementary,37027,144.0,178.0,146.0,137.0,146.0,,,,,,,,,3.0,87.0,109,140,,412.0,390,361,137,64.0,153.0,36.0467903017,-86.753046003
Middle School,H.G. Hill Middle School,37205,,,,,,183.0,190.0,175.0,158.0,,,,,2.0,53.0,206,163,3.0,279.0,358,348,259,122.0,208.0,36.1163756827,-86.8667300076
Elementary School,Harpeth Valley Elementary,37221,146.0,127.0,152.0,136.0,123.0,,,,,,,,,1.0,50.0,86,41,6.0,516.0,356,344,66,69.0,36.0,36.0455259589,-86.9580499609
Special Education,Harris-Hillman Special Education,37212,1.0,1.0,7.0,2.0,5.0,5.0,5.0,4.0,4.0,7.0,5.0,4.0,93.0,,7.0,67,33,1.0,75.0,110,73,54,164.0,27.0,36.1375948541,-86.80760420979999
Elementary School,Hattie Cotton Elementary,37206,45.0,49.0,44.0,48.0,35.0,,,,,,,,,1.0,2.0,149,56,,31.0,126,113,136,26.0,42.0,36.1910704106,-86.74772151219999
Middle School,Haynes Middle,37207,,,,,,55.0,53.0,62.0,50.0,,,,,,,214,1,,5.0,118,102,164,46.0,,36.207640181799995,-86.7891140421
Elementary School,Haywood Elementary,37211,106.0,119.0,123.0,108.0,115.0,,,,,,,,,1.0,89.0,65,401,2.0,66.0,321,303,273,40.0,397.0,36.074169073,-86.708069174
Middle School,Head Middle,37203,,,,,,170.0,179.0,99.0,103.0,,,,,1.0,34.0,352,31,,133.0,286,265,124,31.0,43.0,36.1586049933,-86.8044055117
Elementary School,Henry C Maxwell Elementary,37013,112.0,99.0,103.0,126.0,116.0,,,,,,,,,,58.0,134,257,,161.0,335,275,212,59.0,238.0,36.0308340173,-86.67395212299999
Elementary School,Hermitage Elementary,37076,57.0,68.0,43.0,56.0,44.0,,,,,,,,,,6.0,77,69,1.0,146.0,153,146,115,43.0,42.0,36.1979902099,-86.6353701384
Elementary School,Hickman Elementary,37214,73.0,81.0,95.0,90.0,84.0,,,,,,,,,1.0,11.0,198,98,2.0,163.0,252,221,220,69.0,78.0,36.164979871599996,-86.65747883739999
High School,Hillsboro High,37215,,,,,,,,,2.0,314.0,319.0,280.0,252.0,2.0,42.0,596,75,1.0,451.0,597,570,313,165.0,42.0,36.1070656078,-86.8122291617
High School,Hillwood High,37205,,,,,,,,,,303.0,277.0,270.0,241.0,1.0,71.0,392,202,1.0,424.0,583,508,358,164.0,181.0,36.118806687399996,-86.87390019729999
Elementary School,Hull-Jackson Elementary,37208,70.0,61.0,55.0,32.0,64.0,,,,,,,,,6.0,7.0,374,19,,24.0,221,209,197,41.0,4.0,36.1903186918,-86.80717823280001
High School,Hume-Fogg High,37203,,,,,,,,,,231.0,224.0,226.0,220.0,3.0,100.0,196,68,,534.0,346,555,60,27.0,8.0,36.1595246071,-86.78153601700001
High School,Hunters Lane High,37207,,,,,,,,,,428.0,342.0,311.0,252.0,1.0,10.0,544,571,4.0,203.0,736,597,582,141.0,370.0,36.2788275473,-86.7538434982
Elementary School,Ida B. Wells Elementary,37207,50.0,44.0,52.0,56.0,41.0,,,,,,,,,1.0,,243,12,1.0,6.0,136,127,216,24.0,23.0,36.1783097577,-86.76900113399999
Elementary School,Inglewood Elementary,37216,34.0,39.0,39.0,44.0,33.0,,,,,,,,,,1.0,167,16,1.0,44.0,105,124,144,17.0,6.0,36.1978312773,-86.7238406355
Charter,Intrepid College Prep Charter,37013,,,,,,113.0,118.0,122.0,117.0,96.0,85.0,39.0,,,8.0,147,460,,75.0,348,342,198,57.0,358.0,36.0501591002,-86.6457200764
Middle School,Isaac Litton Middle,37216,,,,,,122.0,120.0,121.0,106.0,,,,,1.0,5.0,171,59,1.0,232.0,251,218,140,72.0,38.0,36.2282154457,-86.7221587445
Elementary School,Ivanetta H. Davis Learning Center at Bordeaux,37218,,,,,,,,,,,,,,,2.0,124,14,,22.0,103,59,77,37.0,,36.1915875124,-86.83263570700001
Elementary School,J.E. Moss Elementary,37013,120.0,149.0,185.0,120.0,142.0,,,,,,,,,1.0,66.0,99,513,,72.0,398,353,294,62.0,427.0,36.0673533812,-86.66974657879999
Middle School,Jere Baxter Middle,37207,,,,,,79.0,61.0,53.0,68.0,,,,,,1.0,135,78,,47.0,133,128,182,44.0,72.0,36.219028029200004,-86.7508830358
Elementary School,Joelton Elementary,37080,48.0,43.0,57.0,47.0,48.0,,,,,,,,,,3.0,41,21,,197.0,127,135,112,43.0,12.0,36.315679553,-86.86803980629999
Middle School,Joelton Middle,37080,,,,,,63.0,84.0,72.0,78.0,,,,,1.0,,206,26,,64.0,176,121,214,52.0,19.0,36.3138460672,-86.8657762415
Elementary School,John B. Whitsitt Elementary,37210,81.0,91.0,90.0,84.0,76.0,,,,,,,,,2.0,8.0,51,322,,67.0,222,228,211,38.0,238.0,36.1150448454,-86.73568455379998
Middle School,John Early Middle,37208,,,,,,74.0,67.0,78.0,83.0,,,,,,7.0,249,37,,9.0,163,139,230,50.0,34.0,36.1871534218,-86.8047130677
Middle School,John F. Kennedy Middle,37013,,,,,,185.0,224.0,216.0,217.0,,,,,2.0,18.0,345,319,1.0,157.0,416,426,316,75.0,353.0,36.0554667904,-86.6006047025
High School,John Overton High,37220,,,,,,,,,,589.0,494.0,557.0,430.0,1.0,164.0,414,882,4.0,605.0,1102,968,700,159.0,828.0,36.0797992685,-86.7689945134
Middle School,John Trotwood Moore Middle,37204,,,,,,184.0,213.0,175.0,181.0,,,,,1.0,24.0,216,34,1.0,477.0,421,332,162,103.0,28.0,36.0957722119,-86.801995019
Non-Traditional - Hybrid,Johnson Alternative Learning Center,37210,,,,,,1.0,8.0,13.0,27.0,19.0,39.0,32.0,16.0,,3.0,95,44,,13.0,103,52,96,28.0,31.0,36.1453908839,-86.7640144621
Elementary School,Jones Elementary,37208,31.0,40.0,44.0,45.0,46.0,,,,,,,,,,,201,5,,,102,104,105,24.0,1.0,36.181153731,-86.8013978855
Elementary School,Julia Green Elementary,37215,98.0,100.0,87.0,74.0,87.0,,,,,,,,,,29.0,16,20,3.0,378.0,235,211,13,30.0,14.0,36.1027239829,-86.8331193121
